Model,Condition,Threshold,Recall,Precision,F1,TP,FN,FP,TN,Clean Recall,Recall Drop,Envelope Met
Vehicle,Blur S3,0.8,0.027777777777777776,1.0,0.05405405405405406,75,2625,0,900,0.9288888888888889,0.9011111111111111,False
Vehicle,Blur S3,0.9,0.01888888888888889,1.0,0.03707742639040349,51,2649,0,900,0.8844444444444445,0.8655555555555556,False
Vehicle,Brightness S1,0.01,1.0,0.7541899441340782,0.8598726114649682,2700,0,880,20,1.0,0.0,True
Vehicle,Brightness S1,0.05,0.9833333333333333,0.7982561635598316,0.8811815466312645,2655,45,671,229,0.9992592592592593,0.01592592592592601,True
Vehicle,Brightness S1,0.1,0.9707407407407408,0.818039950062422,0.8878726287262874,2621,79,583,317,0.9911111111111112,0.020370370370370372,True
Vehicle,Brightness S1,0.2,0.9477777777777778,0.8351827676240209,0.8879250520471894,2559,141,505,395,0.9844444444444445,0.036666666666666625,True
Vehicle,Brightness S1,0.3,0.9281481481481482,0.8698368622006248,0.8980469449919369,2506,194,375,525,0.9785185185185186,0.0503703703703704,True
Vehicle,Brightness S1,0.4,0.9137037037037037,0.891257225433526,0.9023408924652523,2467,233,301,599,0.9744444444444444,0.06074074074074076,True
Vehicle,Brightness S1,0.5,0.8988888888888888,0.9214123006833713,0.9100112485939257,2427,273,207,693,0.9651851851851851,0.0662962962962963,True
Vehicle,Brightness S1,0.6,0.8814814814814815,0.9340659340659341,0.9070121951219512,2380,320,168,732,0.9607407407407408,0.07925925925925925,True
Vehicle,Brightness S1,0.7,0.8607407407407407,0.9548069022185702,0.9053369692247759,2324,376,110,790,0.9477777777777778,0.08703703703703713,True
Vehicle,Brightness S1,0.8,0.8218518518518518,0.972818939061815,0.8909857458341698,2219,481,62,838,0.9288888888888889,0.10703703703703704,False
Vehicle,Brightness S1,0.9,0.7755555555555556,0.982637259502581,0.8669012626785345,2094,606,37,863,0.8844444444444445,0.10888888888888892,False
Vehicle,Brightness S2,0.01,0.9914814814814815,0.7732524552281917,0.8688737422914639,2677,23,785,115,1.0,0.00851851851851848,True
Vehicle,Brightness S2,0.05,0.8574074074074074,0.8768939393939394,0.8670411985018727,2315,385,325,575,0.9992592592592593,0.1418518518518519,False
Vehicle,Brightness S2,0.1,0.7644444444444445,0.9239033124440466,0.83664369679773,2064,636,170,730,0.9911111111111112,0.22666666666666668,False
Vehicle,Brightness S2,0.2,0.6748148148148149,0.9774678111587983,0.7984224364592464,1822,878,42,858,0.9844444444444445,0.3096296296296296,False
Vehicle,Brightness S2,0.3,0.6074074074074074,0.98676293622142,0.7519486474094453,1640,1060,22,878,0.9785185185185186,0.37111111111111117,False
Vehicle,Brightness S2,0.4,0.5551851851851852,0.9920582395764395,0.7119449061980527,1499,1201,12,888,0.9744444444444444,0.4192592592592592,False
Vehicle,Brightness S2,0.5,0.5085185185185185,0.994927536231884,0.6730392156862745,1373,1327,7,893,0.9651851851851851,0.45666666666666667,False
Vehicle,Brightness S2,0.6,0.45666666666666667,0.9951573849878934,0.6260472201066261,1233,1467,6,894,0.9607407407407408,0.5040740740740741,False
Vehicle,Brightness S2,0.7,0.40703703703703703,0.9990909090909091,0.578421052631579,1099,1601,1,899,0.9477777777777778,0.5407407407407407,False
Vehicle,Brightness S2,0.8,0.34629629629629627,1.0,0.514442916093535,935,1765,0,900,0.9288888888888889,0.5825925925925926,False
Vehicle,Brightness S2,0.9,0.2611111111111111,1.0,0.4140969162995595,705,1995,0,900,0.8844444444444445,0.6233333333333333,False
Vehicle,Brightness S3,0.01,1.0,0.75,0.8571428571428571,2700,0,900,0,1.0,0.0,True
Vehicle,Brightness S3,0.05,0.997037037037037,0.756392245012644,0.8602013101134367,2692,8,867,33,0.9992592592592593,0.0022222222222222365,True
Vehicle,Brightness S3,0.1,0.92,0.795134443021767,0.853021978021978,2484,216,640,260,0.9911111111111112,0.07111111111111112,True
Vehicle,Brightness S3,0.2,0.6066666666666667,0.8443298969072165,0.7060344827586208,1638,1062,302,598,0.9844444444444445,0.37777777777777777,False
Vehicle,Brightness S3,0.3,0.24962962962962962,0.9683908045977011,0.39693757361601884,674,2026,22,878,0.9785185185185186,0.7288888888888889,False
Vehicle,Brightness S3,0.4,0.056666666666666664,1.0,0.10725552050473186,153,2547,0,900,0.9744444444444444,0.9177777777777778,False
Vehicle,Brightness S3,0.5,0.014814814814814815,1.0,0.029197080291970802,40,2660,0,900,0.9651851851851851,0.9503703703703703,False
Vehicle,Brightness S3,0.6,0.008148148148148147,1.0,0.016164584864070533,22,2678,0,900,0.9607407407407408,0.9525925925925927,False
Vehicle,Brightness S3,0.7,0.002962962962962963,1.0,0.005908419497784342,8,2692,0,900,0.9477777777777778,0.9448148148148149,False
Vehicle,Brightness S3,0.8,0.0,0.0,0.0,0,2700,0,900,0.9288888888888889,0.9288888888888889,False
Vehicle,Brightness S3,0.9,0.0,0.0,0.0,0,2700,0,900,0.8844444444444445,0.8844444444444445,False
Vehicle,Contrast S1,0.01,1.0,0.7522986904430203,0.8586420734615997,2700,0,889,11,1.0,0.0,True
Vehicle,Contrast S1,0.05,0.9981481481481481,0.7632398753894081,0.8650296902583855,2695,5,836,64,0.9992592592592593,0.0011111111111111738,True
Vehicle,Contrast S1,0.1,0.99,0.7793002915451895,0.8721044045676998,2673,27,757,143,0.9911111111111112,0.0011111111111111738,True
Vehicle,Contrast S1,0.2,0.9803703703703703,0.8065204143814747,0.8849882982280175,2647,53,635,265,0.9844444444444445,0.004074074074074119,True
Vehicle,Contrast S1,0.3,0.9718518518518519,0.8154133001864512,0.8867860763771546,2624,76,594,306,0.9785185185185186,0.00666666666666671,True
Vehicle,Contrast S1,0.4,0.96,0.8273220555378231,0.8887364992285273,2592,108,541,359,0.9744444444444444,0.014444444444444482,True
Vehicle,Contrast S1,0.5,0.9503703703703704,0.8454695222405272,0.8948561464690498,2566,134,469,431,0.9651851851851851,0.014814814814814725,True
Vehicle,Contrast S1,0.6,0.9403703703703704,0.8749138525155066,0.9064619778650482,2539,161,363,537,0.9607407407407408,0.020370370370370372,True
Vehicle,Contrast S1,0.7,0.9218518518518518,0.9054201527828302,0.9135621214901817,2489,211,260,640,0.9477777777777778,0.02592592592592602,True
Vehicle,Contrast S1,0.8,0.8951851851851852,0.9314065510597302,0.9129367327667611,2417,283,178,722,0.9288888888888889,0.03370370370370368,True
Vehicle,Contrast S1,0.9,0.84,0.9733905579399141,0.9017892644135189,2268,432,62,838,0.8844444444444445,0.04444444444444451,True
Vehicle,Contrast S2,0.01,1.0,0.7531380753138075,0.8591885441527446,2700,0,885,15,1.0,0.0,True
Vehicle,Contrast S2,0.05,0.9907407407407407,0.7851482242442032,0.8760438840674636,2675,25,732,168,0.9992592592592593,0.008518518518518592,True
Vehicle,Contrast S2,0.1,0.9711111111111111,0.8145386766076421,0.8859604662949823,2622,78,597,303,0.9911111111111112,0.020000000000000018,True
Vehicle,Contrast S2,0.2,0.9148148148148149,0.8786908573461402,0.8963890401016149,2470,230,341,559,0.9844444444444445,0.0696296296296296,True
Vehicle,Contrast S2,0.3,0.8774074074074074,0.912557781201849,0.8946374622356495,2369,331,227,673,0.9785185185185186,0.10111111111111115,False
Vehicle,Contrast S2,0.4,0.8437037037037037,0.9339893398933989,0.8865538042420705,2278,422,161,739,0.9744444444444444,0.1307407407407407,False
